Record_ID,Customer_ID,dob,State_ID,Occupation_ID,Investment_Exp,Expected_Fund_Size,Residual_Proportion,Freq_of_Investment_ID,Portfolio_Driver,Risk_Profile_ID,Return_Profile_ID,Stretegy_ID
699615955,2452,22/12/2006,2,435,6,82281.15,0.111549992,5,Auto,3,4,1
835111951,8532,18/03/2011,8,467,5,51405.04,0.111624893,5,Manual,5,4,14
686167217,1709,12/03/1996,6,364,8,73829.15,0.220416446,3,Manual,4,3,9
288388598,4135,9/09/1983,2,523,1,27790.57,0.411051123,3,Auto,2,1,4
236262400,4229,20/08/2006,6,46,5,75672.15,0.263335243,5,Auto,3,4,9
646026046,8852,2/10/2017,6,364,7,95821.83,0.287462629,2,Auto,1,1,6
927853065,645,9/01/2001,3,251,7,6140.67,0.303603499,1,Manual,3,3,13
539676203,6126,13/02/2011,8,114,7,49036.75,0.114729848,2,Manual,1,5,9
506766546,7315,3/03/1987,2,196,9,92095.76,0.036480825,1,Manual,4,4,16
509187954,5454,20/06/2017,2,666,4,86788.12,0.300219405,7,Manual,3,4,9
701545357,7589,10/08/1995,8,315,4,94335.85,0.173914397,5,Manual,2,4,9
309364162,6037,23/03/1994,1,862,3,11882.82,0.40938064,3,Manual,4,1,15
579403455,5189,19/10/1994,1,620,6,52960.39,0.302275037,7,Manual,4,5,9
23749392,1380,20/10/2019,7,360,6,5766.2,0.047468404,6,Auto,3,2,8
186645401,7503,21/11/1982,8,897,9,77337.58,0.027372795,7,Manual,5,4,9
499237152,9735,8/04/2019,7,424,7,1362.51,0.188400647,2,Manual,2,2,8
129788166,1360,8/11/1992,2,547,2,97653.21,0.425929737,4,Auto,5,1,9
969251179,3435,19/02/2009,6,808,7,2132.45,0.259378397,3,Manual,2,5,7
289383006,3262,4/06/2000,5,3,3,37755.98,0.179920395,2,Auto,3,3,16
36750886,5871,12/07/2011,5,25,10,29280.42,0.171661219,1,Manual,5,5,14
554116555,6088,4/08/1985,8,703,4,36549.02,0.081019273,7,Manual,5,4,8
669632809,6959,8/04/1995,3,388,1,70986.79,0.030552458,7,Auto,4,5,17
253631533,3694,10/08/2017,1,122,6,38600.39,0.160348355,2,Auto,5,1,3
966346871,7401,4/03/2017,7,511,7,63058.83,0.460027756,4,Auto,2,1,13
12492995,8531,11/05/2005,7,461,4,15214.73,0.150870667,2,Manual,2,3,10
304720286,4793,23/11/1989,7,687,9,55378.36,0.346487286,1,Auto,3,5,4
864153603,5830,24/10/1987,1,643,9,11045.41,0.16908193,3,Manual,5,1,5
786032191,8621,21/05/1993,7,16,4,49149,0.034199329,5,Manual,3,3,11
336491875,2146,27/07/1981,5,537,4,9276.08,0.196516785,5,Auto,2,5,5
417361179,8549,6/07/2012,6,186,4,55365.89,0.095468884,5,Auto,3,4,17
390609190,5265,4/12/1978,1,2,10,18037.09,0.252783249,4,Auto,1,1,6
721182058,3824,26/04/1978,1,757,4,12465.16,0.212102101,1,Manual,1,5,13
621127688,3758,19/08/1998,3,526,4,48062.17,0.371842276,4,Auto,5,3,3
388782147,7808,25/12/2007,2,689,8,56639.05,0.247163254,3,Manual,4,5,5
833818833,6015,24/05/2002,8,418,9,70513.27,0.167724238,2,Manual,2,3,10
24076582,8046,19/12/1990,6,260,2,44515.82,0.118391769,2,Auto,3,3,1
853844038,1376,24/06/2000,8,137,8,45968.39,0.088330397,6,Manual,5,2,15
849617025,4840,25/05/1984,6,553,7,81920.61,0.297812239,5,Auto,4,5,7
689050651,2488,11/02/2003,4,632,4,27386.53,0.400629722,5,Auto,5,2,14
16220031,6098,4/07/2020,4,110,6,37544.2,0.078121898,2,Auto,1,4,11
933417117,2768,1/06/1985,8,98,10,23825.76,0.437078062,3,Manual,1,5,6
757213580,9088,1/07/2003,6,577,4,38847.45,0.405061102,4,Auto,1,1,7
776140663,765,8/11/2000,6,152,9,87442.4,0.203967907,2,Auto,3,2,4
72138415,6308,13/03/1990,7,279,8,99544.3,0.345167459,6,Auto,4,2,17
364761697,1940,28/11/1978,3,338,1,47466.88,0.083094222,2,Manual,4,4,2
681576589,4346,3/04/2006,5,253,9,53080.6,0.332500299,3,Manual,2,4,7
253095893,2232,13/07/1994,6,155,6,34939.16,0.172607828,6,Manual,4,4,12
503254243,6541,10/01/1989,2,366,9,13956.73,0.461624002,3,Manual,4,1,13
581620920,7757,21/01/1987,6,699,3,80774.85,0.219093089,4,Manual,2,2,4
396769021,9849,13/07/2000,1,155,5,41880.11,0.339793682,6,Manual,2,4,15
157393916,2026,4/11/1997,7,750,2,1620.34,0.309032674,7,Auto,2,1,5
710661154,66,23/12/2007,4,35,7,89122.44,0.185359772,7,Auto,1,3,8
344786535,1978,6/01/1987,4,406,9,14085.43,0.380607774,7,Manual,5,3,5
734018616,1895,23/11/2017,8,892,1,91952.85,0.40948273,1,Manual,1,2,16
970243406,241,27/01/2000,5,302,5,75762.33,0.044246563,7,Manual,3,5,8
176830384,2135,7/03/2002,3,475,5,6981.68,0.032483161,2,Auto,2,4,14
392758141,1483,5/10/1976,7,98,8,82134.18,0.468975459,1,Auto,4,4,10
862182060,6943,13/04/1972,7,317,9,85823.84,0.077020946,4,Manual,1,3,2
114767322,1141,7/05/2015,4,199,5,90683.67,0.120036236,5,Auto,2,3,9
769440071,3885,22/06/1975,4,853,7,38239.5,0.147287613,5,Manual,1,5,4
513619807,2929,13/11/1977,6,487,4,90489.51,0.394272572,2,Manual,3,5,13
72177996,6345,24/08/2009,5,116,2,40812.87,0.05098415,3,Auto,5,5,15
218574973,4309,18/09/2011,5,407,5,62233.32,0.396763099,5,Manual,1,2,14
621153656,6984,25/12/1994,7,565,8,63158.38,0.253484075,6,Auto,3,2,5
