Record_ID,Customer_ID,dob,State_ID,Occupation_ID,Investment_Exp,Expected_Fund_Size,Residual Proportion,Freq_of_Investment_ID,Portfolio_Driver,Risk_Profile,Return_Profile,Stretegy_ID
50310638,2818,23/09/2015,6,758,8,35972.54,0.11667599,5,Manual,5,3,1
103208504,3081,25/08/1991,2,220,3,53466.4,0.035739044,1,Manual,5,1,4
343495705,2513,15/05/1998,1,662,10,64307.65,0.185558492,1,Manual,4,1,2
448417699,7531,9/04/2005,2,164,5,95007.19,0.003932787,3,Manual,1,2,3
204669465,9170,7/06/2000,8,809,9,82185.6,0.110703139,2,Auto,5,5,5
303917258,2621,1/06/2021,3,659,5,54227.23,0.095193941,5,Auto,5,4,1
558109790,8401,25/01/1976,1,662,8,85706.92,0.096347822,3,Auto,3,3,4
155124447,5749,18/10/2007,5,428,9,45774.33,0.448898744,1,Manual,1,3,1
585326199,5587,15/09/1979,4,403,6,98470.32,0.367628469,5,Auto,2,5,4
96888078,6881,19/11/2013,6,410,4,40998.78,0.035348187,5,Auto,2,3,2
16286114,6769,27/11/2006,4,908,10,25451.04,0.208516818,6,Auto,2,1,2
530958852,5739,18/10/2020,6,82,7,79284.38,0.19270239,6,Manual,5,3,5
266652960,606,7/03/2009,6,434,6,57213.93,0.350729161,2,Manual,2,5,4
827733439,3118,16/12/1972,4,385,4,35809.66,0.359129883,5,Auto,3,4,1
933548013,8059,9/12/2014,7,223,9,88774.18,0.342310313,4,Auto,5,5,3
634422857,9411,25/08/1976,7,381,2,43831.65,0.179991412,6,Manual,5,2,2
62683754,6746,12/05/1971,2,171,10,7368.29,0.361724533,3,Auto,2,2,1
206059360,7755,3/11/2012,3,514,8,19996.88,0.365178143,7,Manual,4,5,3
719784502,126,6/06/2015,6,797,7,63558.04,0.213715143,5,Manual,1,3,4
31445954,7163,20/03/1979,7,440,8,36252.24,0.10691081,2,Auto,2,3,5
887547293,3803,11/04/2014,2,276,9,4171.97,0.14111739,6,Manual,3,2,4
292272144,2282,24/08/2004,2,815,3,94101.86,0.423358369,1,Manual,1,4,1
495497593,2909,26/05/1983,3,295,3,82108.45,0.399202305,2,Auto,5,4,4
39420246,4984,24/08/2000,4,560,5,46510.95,0.201968367,2,Manual,5,4,5
819860251,1090,21/12/1986,7,465,4,38568.86,0.241314118,3,Auto,3,2,4
801809888,8747,16/07/1972,4,112,1,13419.85,0.143183064,3,Auto,2,1,3
646425647,3537,12/11/2015,5,70,6,47972.98,0.163718502,1,Auto,5,1,4
940633099,1670,1/10/2008,6,622,5,56274.27,0.327404849,7,Manual,1,4,5
882837393,1078,22/12/1988,2,15,10,35649.91,0.480105507,3,Manual,2,2,1
13406763,2554,3/05/2003,2,369,9,68256.39,0.416623633,3,Auto,1,5,2
891644841,7361,9/08/2003,5,640,2,76337.61,0.277244837,2,Auto,5,1,4
704841959,5020,13/02/1980,1,17,3,22026.07,0.014648371,4,Auto,2,5,2
24145177,910,4/07/1990,5,773,6,19258.54,0.1113267,5,Auto,2,3,5
978713833,1082,18/12/2018,2,878,1,95734.68,0.203659591,6,Manual,1,3,2
757891488,8243,24/02/2001,2,279,10,53731.95,0.237402129,6,Manual,1,3,5
509806156,5526,9/12/2004,4,226,9,49160.77,0.350521146,1,Manual,4,2,1
724671866,4383,7/08/2011,4,193,8,91078.83,0.36136671,2,Auto,4,5,2
288197263,6999,4/06/2020,5,899,9,7896.68,0.206296307,1,Auto,2,5,1
939719007,2513,11/09/2018,6,538,1,44010.22,0.44096878,2,Auto,1,1,4
807437249,6771,28/12/1996,1,390,3,92756.89,0.35723826,3,Auto,4,1,5
472423395,4794,7/07/2019,5,654,1,82893.15,0.05424399,2,Auto,4,5,1
492902140,2395,23/03/1982,5,126,10,87923.41,0.048169282,7,Auto,5,4,3
206739963,2843,14/09/1994,8,108,1,1277.91,0.178997392,1,Manual,1,5,3
393578442,352,7/12/2004,8,778,6,66265.76,0.079560309,7,Auto,2,1,2
541970448,3985,24/11/1997,3,748,9,41164.77,0.196038354,4,Manual,4,4,5
276129372,7172,23/09/2000,4,54,4,79322.47,0.284289985,2,Manual,2,3,4
980441435,4495,9/05/1988,7,486,7,65834.33,0.279280587,2,Auto,2,5,3
219825347,9466,16/10/2018,3,331,1,24308.37,0.256257695,7,Manual,3,2,1
63021799,6928,15/01/2017,6,646,5,74568.35,0.373264007,7,Manual,3,3,4
975291131,519,17/02/2005,3,466,9,26688.85,0.407209086,7,Manual,3,2,3
563909051,9558,1/12/1998,5,569,7,17810.67,0.049369068,6,Manual,3,3,3
